town,apartments_condos_multis_per_residential_parcels_2011,assessed_home_value_changes_2009-2013,births_per_1000_residents_2010,boaters_per_10000_residents_2012,burglaries_per_10000_residents_2011,cars_motorcycles_&_trucks_average_age_2012,cars_per_1000_residents_2012,class_size_in_school_district_2011-2012,condos_as_perc_of_parcels_2012,crashes_per_1000_residents_2007-2011,culture_and_rec_spending_per_person_2012,education_spending_as_a_percent_2012,education_spending_per_resident_2012,expenditures_per_resident_2012,females_percent_in_community_2010,fire_dept_spending_as_a_percent_2012,firefighter_costs_per_resident_2012,fixed_costs_percent_2012,gun_licenses_per_1000_residents_2012,historic_places_per_10000_2013,home_schooled_per_1000_students_2011-2012,homes_built_in_39_or_before,household_member_who_is_2_races_or_more_per_1000_households_2010,households_average_size_2010,households_one-person_2010,hybrid_cars_per_1000_vehicles_2013,in_home_since_1969_or_earlier,income_average_per_resident_2010,income_change_per_resident_2007-2010,inmates_in_state_prison_per_1000_residents,liquor_licenses_per_10000_2011,median_age_2011,miles_driven_daily_per_household_05-07,minority_students_per_district_2012-2013,motorcycles_change_in_ownership_2000-2012,motorcycles_per_1000_2012,multi-generation_households_2010,police_costs_per_resident_2013,police_employees_per_10000_residents_2011,police_spending_as_a_percent_2012,population_change_1950-2010,population_change_2010-2011,presidential_fundraising_obama_vs_romney,property_crimes_per_10000_residents_2012,property_tax_change_09-13,pupils_per_cost_average_by_district_2011-2012,residential_taxes_as_percent_of_all_property_taxes_2013,saltwater_fishing_licenses_per_1000_2013,school_district_growth_09-13,single-person_households_percent_65_and_older,snowmobiles_per_10000_residents_2012,state_aid_as_a_percent_of_town_budget_2012,students_in_public_schools_2011,tax-exempt_property_2012,taxable_property_by_percent_2012,teacher_salaries_by_average_2011,teachers_percent_under_40_years_old_2011-2012,trucks_per_1000_residents_2012,violent_crimes_per_10000_residents_2012,voters_as_a_percent_of_population_2012,voters_change_in_registrations_between_1982-2012,voters_democrats_as_a_percent_2012,2020_votes,2020_biden_margin,population,growth
Lanesborough,0.063,-0.034,9.7,634.1,,10.6,391.5,16.9,0.016,54.4,32,55.9,1747,2983,50.8,0.78,23,15.3,164.7,6.5,23.6,24.2,2.7,2.39,25.4,16.9,19.2,21333,-0.2,1,45.3,42.3,61.2,5.7,-0.113,33,31,197,22.5,6.6,0.49,-0.006,48,,0.2,14498,80,10,-0.207,34.5,374.2,17.4,0.951,7.5,92.5,,0.19,451,,2205,0.16,28.6,1891,33,783,negative
Lawrence,0.597,-0.209,18,15.6,88.6,12,281,20.6,0.112,83.8,17,62.1,1806,2907,51.9,3.94,115,9.5,14.5,3.1,1.5,44.7,41.9,3,24.5,7.3,3.8,11893,-0.04,4.9,13.1,30.9,35.7,94.3,-0.276,5.6,98.3,147,18.1,5.1,-0.05,0.008,90,253,0.115,13272,76.3,10,0.076,33.8,0,66.2,0.919,18,82,70949,0.46,179,101.1,40493,0.51,54,23208,48,22825,large
Lee,0.166,-0.021,8.7,353.4,57.6,10,422.2,14.5,0.065,58.9,55,47.3,1288,2520,52,0.65,16,21.1,135.9,11.8,23.7,29,4.3,2.26,32.4,14,10.8,23579,-0.14,1.5,45.4,43.3,55.2,13.3,-0.2,18.8,21.9,149,20.1,5.9,0.23,-0.006,61,218,0.133,14047,70,9.8,-0.131,46.4,223.5,17.1,0.89,11.4,88.6,56898,0.34,388,25.2,4086,0.27,28.6,3489,41,1338,negative
Leicester,0.11,-0.151,8.9,298.1,39.1,10,412.1,21.5,0.031,114.5,15,60.1,1394,2285,51.2,0.85,20,13.5,79,0.9,11,32,7,2.64,22.8,14.6,7.9,26176,0.03,0.6,15.5,39.7,73.5,10.8,0.129,27.9,45.3,147,,6.4,0.82,0.003,22,155,0.111,11484,89.2,21.1,-0.085,40.1,231.6,44.8,0.942,10.3,89.8,69538,0.35,359,16.2,7480,0.46,29.3,6415,-0.7,2703,small
Lenox,0.241,-0.116,6.4,163.2,48,9.4,473.4,13.6,0.163,141.1,99,49.8,1646,2533,54.8,1.6,41,17.8,91.3,17.9,0,28.2,4.3,2.09,40.3,19.3,5.8,35804,-0.06,0.4,89.6,48.4,53.5,11,-0.374,13.3,14.5,124,21.8,4.9,0.39,-0.006,166,244,0.127,15072,81.1,9,-0.04,59.9,92.1,16.5,0.905,11.7,88.3,68077,0.17,304,9.9,3811,0.11,42.8,3368,62,788,small
Leominster,0.296,-0.212,11.3,112.9,59.4,9.7,459.4,18.5,0.136,120.5,43,58.4,1284,2121,51.5,7.3,155,8.3,48.9,2,13.2,28.5,10.9,2.41,30,16,7.2,24049,0,1.3,16.2,40,58,40.2,-0.063,19.7,31.6,145,20.2,6.8,0.69,0.003,57,321,0.176,12233,78,18.3,-0.008,38.4,19.1,38.7,0.92,11.3,88.7,62401,0.39,297,65.7,26277,0.51,28.5,21525,17,9872,medium
Leverett,0.054,-0.05,3.8,297.1,,11.8,571.6,16.7,0.002,48.1,45,66.1,1831,2770,50.2,1.92,53,4.1,112,5.4,50,26.5,7.4,2.41,23.4,40.2,5,34740,-0.06,0,5.4,47.9,84.9,17.4,-0.229,20,15.7,97,10.7,3.5,1.34,0.003,104,,0.151,16999,96.2,19.4,-0.083,36,145.4,9.7,0.906,7.4,92.6,59975,0.23,373,,1493,0.7,46.4,1386,74,451,small
Lexington,0.109,0.022,6.5,42,21.8,8.4,482.5,19.3,0.084,109.7,94,59.3,2311,3836,52.5,4.22,162,4.3,22.7,4.8,3.5,22,7.4,2.68,21,39.7,10.2,86260,-0.1,0.1,8.9,45.8,57,43.5,-0.166,8.2,28.6,181,19.3,4.7,0.81,0.01,1216,71,0.197,16726,86.6,9.4,0.043,58.1,0.9,4.5,0.897,7.7,92.3,,0.4,249,4.1,22174,0.14,38.7,20048,65,7862,medium
Lincoln,0.215,-0.121,11.3,58.2,24.9,9,474.2,16.2,0.183,109.6,222,46.2,2071,3295,52.1,4.67,154,18.3,53.7,15.7,3.3,12.8,10.7,2.65,21.6,46.3,7.8,122383,0.1,0.6,3.1,37.4,54.5,36.1,-0.302,9.4,19.1,167,29.7,5.1,1.62,0.011,357,69,0.156,19598,96.2,13.2,0.102,43.5,1.6,4.6,,18.4,81.6,81963,0.42,243,12.3,4546,0.31,35.2,4271,66,2819,large
Littleton,0.05,-0.046,9.5,240.9,29.9,9.2,455.5,20,0.021,121.5,68,49.4,1747,3517,51.9,2.35,83,12.8,66.9,3.4,10.3,15.9,8.1,2.66,22,25.6,9.7,41258,0.01,0.2,9,43.3,84.2,8.8,0,25.7,27.3,145,24.5,4.1,2.8,0.01,55,125,0.169,12559,78.5,23,-0.047,45.3,13.3,14.6,0.936,7.7,92.3,77242,0.35,366,12.1,6458,0.69,22.4,6691,37,2202,large
Longmeadow,0.014,-0.063,5.4,135.6,26,9,487.1,19.9,0.009,73.7,73,64.9,1854,2752,53.2,4.05,111,5.9,53.5,1.3,1.6,26.9,4,2.66,20.9,20.1,8.6,56703,-0.13,0.1,7.6,43.9,64.8,15.5,0.167,10.6,17.9,150,18.3,5.4,1.43,0.001,124,122,0.18,13110,95.1,10.9,-0.085,68.3,8.2,9.6,0.894,6.7,93.3,64403,0.24,286,6.9,12206,0.23,32.1,10395,31,3263,small
Lowell,0.474,-0.134,15.8,38.4,85,10.6,381.8,19.2,0.208,154.6,30,55.1,1303,2364,50.4,6.09,144,7.6,19,3.9,2.9,48.5,14.8,2.66,29.4,11.3,5.5,18995,0.06,2.5,13.8,33.1,44.1,68.3,-0.053,10.7,58.5,201,27.8,8.5,0.1,0.01,111,290,0.113,13365,82.3,25.5,0.036,28.2,0,48.1,0.908,16.8,83.2,76454,0.31,212,53.9,54683,0.29,40,38681,34,31215,medium
Ludlow,0.144,-0.093,7,240.3,36,10.3,439.9,17.6,0.051,107.7,31,47.8,1186,2335,48.6,3.64,85,21,88.9,0.9,0,19,5.8,2.46,26.3,9.9,11.5,24285,0.12,0.7,19,42.7,57.1,11.5,0.144,24.1,33.9,134,17.9,5.7,1.44,0.001,14,171,0.091,12588,84.2,18.3,-0.074,48.6,41.7,30.3,0.937,,94.8,57485,0.37,336,13.1,13634,0.45,41,11384,-2,4863,negative
Lunenburg,0.113,-0.17,7.5,523.5,58.3,10.3,475.2,20.8,0.089,91.3,38,56,1539,2730,50.4,2.61,71,10.4,87,1,7.8,17.4,5.6,2.63,20.7,17.9,10.2,32825,-0.01,0.4,20.8,42,78.7,9.7,0.224,39.6,38.1,137,13.8,5,1.58,0.004,7,222,0.101,11448,89.8,25.4,-0.087,42.7,101.8,21.9,0.937,5.2,94.8,70771,0.31,411,26.4,7345,0.55,20,7192,15,2433,large
Lynn,0.404,-0.172,16,68.7,78.9,11.3,347.4,19.5,0.124,136.9,13,41.9,1174,2805,51,6.33,178,24.6,25.4,2.9,2.2,63.3,23.3,2.69,30.6,9.3,5.7,17258,-0.17,3.6,11.7,35,35.6,78.4,-0.249,10.7,60.8,186,21.3,6.6,-0.09,0.008,117,283,0.1,13031,84,20.7,0.065,35.9,0.1,54.9,0.908,10,90,63511,0.31,226,82.1,50578,0.19,47.2,35777,40,27396,large
Lynnfield,0.031,-0.106,6.2,111.2,53.9,8.8,494,21,0.02,101.4,56,52.1,1837,3395,51.2,2.57,87,17.7,60.4,2.6,2.1,12.2,4.1,2.77,18.8,18.6,8.3,58383,-0.02,0.2,12.9,43.1,70.3,10.4,-0.01,16.3,34,196,18.9,5.8,1.95,0.008,33,91,0.181,12215,91.5,14.4,-0.042,62,4.3,10.9,0.91,6.1,93.9,71387,0.43,345,5.9,9279,0.29,20.9,8345,3,2540,large
Malden,0.534,,15.5,29.4,52.8,9.7,352,21.1,0.156,61,32,42.9,882,2057,51.6,6.92,142,8.4,22.2,2,,50,16.1,2.5,30,11.8,5.3,21175,-0.05,1.6,11.3,36.4,34.2,68.3,-0.2,9.1,48.2,164,18.6,8,-0.01,0.01,235,200,,12153,85.1,12.6,0.024,32.2,0,37.1,0.948,10.8,89.2,73296,0.38,200,46.2,30968,0.02,44.4,25623,51,20561,large
Mansfield,0.206,-0.107,9.1,123.4,64.2,8.9,440.9,20.5,0.125,104.4,29,53.6,1693,3053,50.3,3.96,121,17.6,37.1,1.3,0.6,18,5.4,2.76,23,19.3,3.6,38054,0.06,0.3,16,36.6,78.1,12.2,0.059,17.7,28.2,138,15.9,4.5,2.23,0.001,80,,0.107,11166,75.5,22,-0.084,30.6,1.7,25.5,0.932,6,94,79613,0.41,320,,15250,1.28,25,14537,27,5647,small
Marblehead,0.189,-0.063,7.9,995.1,17,9.3,461.9,18.7,0.113,53.6,88,46.6,1457,2905,52.8,4.68,136,20.6,47.5,6.6,3.7,42.7,4,2.42,28.8,24.9,7.4,69497,-0.07,0.3,17.2,44.4,48.3,9.9,-0.108,13.8,12.9,146,18.1,5,0.44,0.008,262,111,0.131,12998,94.5,34.3,-0.003,40.5,1,7.9,0.859,5.9,94.1,,0.37,328,13.4,15375,0.11,27,14234,45,3712,small
Marion,0.018,-0.143,8.4,2272.3,26.4,9.9,512.9,19.9,0.002,115.5,55,53.3,1878,3247,52.9,2.81,91,12.4,92.3,2,4.6,18.3,9.4,2.45,25.6,23.3,9.2,47277,-0.02,0.2,24.5,46.2,76.3,9.5,0.23,25.1,21.6,277,28.4,8.5,1.18,0.005,59,139,0.128,12977,92.2,63.2,0.064,52.2,2,2.8,0.865,9.5,90.5,81253,0.26,395,12.1,3922,0.6,23.7,3696,30,903,medium
Marlborough,0.328,,13.3,120.5,33.2,9.7,488.5,18,0.187,140,29,55.4,1385,2501,50.5,6.92,173,8.4,31.1,4.2,9,21.7,16.2,2.46,28.7,17.4,6.9,31305,0.04,0.8,17.7,39.1,62.8,43.4,-0.04,17.4,30.9,175,19.9,7,1.44,0.01,101,179,,14198,67.6,16.6,0.005,32.8,11.1,15.2,0.918,9.2,90.8,66443,0.42,302,29.8,21737,0.34,29.6,19143,34,12335,medium
Marshfield,0.088,-0.073,8.9,551.1,,9.3,421.7,23.4,0.069,76.7,29,56.5,1625,2874,51.3,5.87,169,15,65.8,2,4,15.9,3.8,2.63,22.6,17,6.1,38150,-0.02,0.4,15.9,41.5,81,4.1,0.107,18.2,33.7,163,17.8,5.7,6.69,0.006,120,115,0.133,11003,92.4,40.5,-0.05,40.4,6.3,19.9,0.945,6.4,93.6,68434,0.3,397,14.9,18824,0.65,25.2,17482,12,5362,small
Mashpee,0.271,-0.101,8.9,1268,43.6,9.5,487.3,15.4,0.223,64.5,48,40.7,1435,3436,53.5,6.32,217,17.6,75.4,1.4,7.3,2.7,7.3,2.27,30.6,19.7,0.6,28959,-0.02,1.2,20.7,46.7,70.7,20.1,0.291,20.9,27.5,266,31.2,7.7,30.98,-0.001,75,210,0.169,15331,91.7,49.3,-0.051,48.5,0.7,11.6,0.941,6.7,93.3,69090,0.21,378,33.3,10586,3.56,24.9,10263,18,2952,medium
Mattapoisett,0.045,-0.133,6,1632.8,36.2,9.8,506.5,16.7,0.01,80.2,58,53.9,1856,3196,51.3,1.54,49,13.2,73.2,3.3,2,20.5,4.9,2.41,25,16.9,9.8,44824,0.14,0.7,24.8,47.4,73.3,9.3,0.372,25.6,24.4,248,29.6,7.8,1.67,0.006,35,170,0.123,14863,93.2,61.9,-0.025,46.6,0,4,0.906,8.6,91.4,69905,0.36,406,11.4,5054,0.45,23.6,4697,18,1045,medium
Maynard,0.234,-0.099,12.5,130.6,17.6,9.6,506,16.8,0.127,51.9,50,45.8,1400,2911,52.1,5.44,159,20.5,48.4,1,12.6,39.6,4,2.38,30.7,21.3,6.8,32381,0,1.2,26.7,41.9,58.4,16.9,-0.096,25.1,22.2,190,21.6,6.5,0.45,0.01,63,135,0.245,13822,87.3,17.8,0.02,35.4,4.9,15.5,0.975,9.8,90.2,62008,0.38,310,23.3,7255,0.33,31.8,6786,48,2930,medium
Medfield,0.095,-0.032,8.6,111.4,13.2,8.9,428.8,19.6,0.064,72,78,57.5,2264,3804,51.5,2.07,79,11.8,43.3,5.8,1.6,10,2.6,2.91,17,21.5,6.4,75734,0.01,0.2,10,41.6,80,8,0.266,15.1,16.3,178,17.4,4.7,1.64,0.007,44,56,0.1,11830,94.2,16.6,-0.072,45.6,0,13.6,0.931,9.6,90.4,71827,0.38,361,13.1,8533,0.42,20.1,8211,40,2389,medium
Medford,0.488,-0.064,13,72.6,,9.2,422.7,16.3,0.167,95.6,21,,,,52.2,,154,24.1,29.4,5.2,,59.7,10.1,2.38,29.6,15.7,10.4,29198,0.06,1,8.7,36.7,39.1,37.8,-0.195,11.5,32.5,166,17.3,,-0.15,0.01,393,,0.148,13032,86.9,13,-0.03,37.7,0,16.8,0.839,9.4,90.6,,0.4,219,,37539,0.09,44.6,31713,50,17688,medium
Medway,0.106,-0.1,9.4,151.3,15.6,9.3,442.4,18.3,0.057,56.4,31,58.8,1888,3175,51.3,1.01,32,14.9,55.2,1.6,4.4,18.9,6.3,2.84,18.7,17.9,6.6,42930,0.08,0.8,12.5,41,78.8,6.6,0.188,20.8,33.6,165,18.7,5.2,2.41,0.007,40,91,0.105,11775,86.4,21.9,-0.099,38,3.9,23.2,0.949,6.5,93.5,70009,0.28,352,9.3,9291,0.9,22.1,8416,26,3155,small
Melrose,0.239,-0.012,12.3,48.5,22.7,8.8,442.4,22.7,0.107,59.7,70,39.1,1071,2228,53,4.82,107,21.2,36.6,2.6,3.2,54.2,6.2,2.38,31.3,19.3,8.7,37402,-0.02,0.6,5.2,41,44.2,18.7,-0.081,11.7,22,110,16.2,4.9,0,0.01,252,116,0.133,11176,94,14.5,0.005,42.9,0.4,15.3,0.848,7.7,92.3,56666,0.45,253,13.8,19552,0.1,35,18241,47,7792,large
Mendon,0.06,-0.124,7.4,239.8,13.6,9.8,441,,0.021,156.5,40,55.5,1240,2233,49.9,4.68,105,7.8,98.6,5.1,9.3,10,5.3,2.88,15.2,20.7,5.6,41995,-0.04,0.2,22.3,42.1,89.6,,0.4,39.6,34.1,196,25.5,8.8,2.61,0.004,36,76,0.143,,88.9,22.6,,41.7,13.6,2.6,0.911,4,96,,,425,8.5,4268,1.43,19.4,3944,7,1285,medium
Merrimac,0.179,-0.126,5.7,249.3,,9.4,471.4,,0.098,56.2,38,58.4,1081,1776,51.8,3.13,56,5.6,77.8,0,13.7,28.1,3.9,2.61,22.6,15.3,3.7,31161,0.08,0.6,12.6,42.6,83.9,,0.041,32.2,38.9,120,15.7,6.8,1.26,0.008,12,90,0.138,,94.6,34.2,,47,15.7,7.5,0.938,6.1,94,,,353,10.9,4606,0.75,21.4,4391,19,1367,medium
Methuen,0.254,-0.154,11.9,68.8,42.2,9.6,462.5,23.5,0.138,137.3,26,57.2,1370,2394,52.4,6.41,154,8,43.2,9.3,5.5,27.4,13.5,2.67,24.9,11.7,7.6,25354,-0.05,1.1,13.5,39.5,61.8,38.9,-0.051,19,54.1,184,20.2,7.7,0.93,0.008,68,181,0.127,11566,83.7,18.1,-0.045,42.9,1.7,35.9,0.9,5.8,94.2,72473,0.39,296,16.2,30736,0.44,37,25919,12,13518,large
Middleborough,0.138,-0.165,10.2,252.2,50.8,9.9,417.2,27.2,0.043,161.1,34,46.5,1264,2715,51.2,4,109,23.9,100.4,4.3,12.9,27,7.2,2.67,20.7,12.1,5.2,24330,-0.14,1.1,13.4,40.8,93.4,10.3,0.244,34,47.7,156,18.1,5.8,1.27,0.005,49,221,0.137,12039,79.4,44.8,-0.069,40,7.3,30.6,0.923,9.4,90.7,66820,0.28,381,,16060,0.67,20.5,13857,-6,6237,small
Middlefield,0.015,-0.01,5.8,479.8,,11.8,360.8,,0,28.8,15,50.1,1147,2135,48.9,0.33,7,8.1,284.1,19.2,0,35.7,0,2.39,23.4,9.5,9.1,16424,-0.07,1.9,,50.5,88,,-0.457,36.5,9.2,25,,1.2,0.77,0,5,,0.025,,90.9,26.9,,31.4,191.9,8.5,0.952,12.9,87.2,,,520,,356,0.61,30.5,334,22,73,negative
Middleton,0.301,-0.071,6.5,117.9,3.3,8.9,392.5,16.3,0.225,91.9,50,62.9,1754,2600,44,6.16,160,6.6,74.2,5.6,5.2,15.8,5.6,2.68,23.2,14.8,6.7,38938,0.11,0.9,18.9,41.4,84.1,8.8,0.166,26.6,45.5,142,15.5,5.4,2.08,0.007,8,91,0.149,12231,82.7,21.1,-0.081,48.9,4.4,8.7,0.962,8.7,91.3,68140,0.31,365,15.3,5805,1.18,22,5858,-3,2412,medium
Milford,0.305,-0.167,13.4,104.3,,9.8,473.3,19,0.16,133.5,59,52.7,1394,2647,50.2,4.5,119,17.1,54.9,2.5,7.1,31.8,13.8,2.56,25.4,14.9,7.6,28213,-0.02,0.6,21.4,37.8,64.7,27.8,0.069,18.8,35.3,170,19.2,6.4,0.81,0.003,51,185,0.127,12284,77.3,20.9,-0.006,36.3,2.5,23.7,0.952,6.4,93.6,63956,0.38,328,27.9,17791,0.41,30.6,14580,22,7903,medium
Millbury,0.199,-0.205,9.3,290.3,38.3,9.6,462.4,18.6,0.076,113.5,32,55,1382,2448,51.9,1.94,48,18.5,90.8,2.3,6,30.8,5.9,2.48,25.9,13,11.5,26919,0,0.7,21.1,41.8,65,13.6,0.225,29.9,37.6,139,15.7,5.7,0.59,0.003,3,223,0.119,13444,76.8,26.2,-0.064,40,48.1,22.3,0.936,9.3,90.7,73713,0.42,352,29.8,9122,0.36,28.6,8162,6,3550,small
Millis,0.192,-0.107,9.4,164.7,,9.5,456.3,19.2,0.126,47,43,54.2,1557,2798,51,3.59,100,15.4,76,6.3,2.6,16,4.1,2.59,23.6,21.7,8.9,34826,-0.04,0.3,16.5,41.8,68.8,10.7,0.378,28.6,31,187,23.9,6.7,2.09,0.007,26,,0.087,10638,89.5,25.2,0.033,29.3,1.3,20.3,0.951,6.2,93.8,68296,0.46,378,,5699,0.38,25.8,5639,27,1874,medium
Millville,0.194,-0.163,11.6,253.9,18.8,9.9,448,,0.087,44.5,5,56.3,815,1446,50.3,5.61,81,3.6,82.5,9.4,1.6,35.2,3.4,2.91,15.9,15.6,6,26721,-0.07,0,12.5,39.9,92.1,,0.121,40.8,43.9,123,18.7,8.5,0.89,0.003,,130,0.109,,93.2,28.5,,37.9,18.8,8,0.96,6,94,,,406,3.1,2038,1.23,19.8,1848,-8,967,negative
Milton,0.109,-0.04,9.6,66.3,30.9,9.3,420.7,18.6,0.027,120.7,52,51.8,1289,2473,52.8,6.78,168,8.8,32.5,9.3,1,47.6,11.4,2.75,23,23.5,7.8,51918,-0.4,0.4,4.1,38.8,58.7,30.4,-0.238,7.8,38,212,23.9,8.6,0.21,0.007,331,101,0.202,12816,95.8,12.3,0.015,60.1,0.4,9.7,0.788,11.1,88.9,76233,0.48,277,10.2,19592,0.08,45.4,17654,48,6155,medium
Monson,0.073,-0.092,7.5,380.8,64.2,11.3,427.8,20.8,0.015,50.2,62,34,1339,3713,51.1,0.43,16,10.5,136.4,4.7,15,32.3,4.1,2.57,23,13.1,7.8,25154,0.04,0.2,14,43.2,79.3,5.4,0.115,42.1,28.1,113,17.4,3,0.4,0.001,9,170,0.088,11811,91.6,25.7,-0.15,37.6,81.7,40.3,0.942,10.1,89.9,61034,0.33,430,23.1,5661,0.65,28,5175,-3,1892,negative
Montague,0.214,-0.042,11.5,239.4,88.6,11.1,467.7,,0.023,66.6,56,53.8,980,1809,51.3,,,11.4,,3.6,26.5,43.1,10.1,2.25,32.6,16.8,9.2,19578,-0.03,1.9,28.4,42.9,54.8,,0.051,26.8,21.1,165,23.6,9.1,0.08,0.003,98,253,0.142,,74.7,11.6,,36.2,126.4,7.3,0.938,14.6,85.4,,,327,44.5,5866,0.18,33.1,4898,47,2161,small
Monterey,0.032,0.041,5.2,1279.9,,11.4,484.9,,0.012,6.2,101,35.6,1117,3112,52.3,4.43,138,8.9,119.2,31.2,21.7,24.1,0,2.17,28.6,26.4,4.9,20917,-0.22,1,10.4,57.2,73.3,,0.429,20.8,9.4,178,20.7,5.7,1.62,-0.005,14,31,0.117,,96.3,5.2,,34.4,146.4,8.5,0.87,10.1,89.9,,,402,41.5,744,0.55,41,592,64,146,large
Nahant,0.12,-0.136,7.3,539.6,29.1,9.4,510,27.2,0.057,20.2,59,34.2,925,2237,52,8.75,196,16.3,66.4,8.8,,52,1.8,2.18,33.5,25.9,10.1,47392,-0.04,0.3,20.5,49.2,50.9,10.1,0.013,23.8,18.2,288,37.9,12.9,0.27,0.008,49,101,0.087,10926,95.7,52.8,-0.248,38.6,0,6.4,0.831,8.9,91.1,70647,0.15,344,17.3,2665,0.02,35.7,2524,31,621,negative
Nantucket,0.111,,14.7,1891.5,53.2,13.9,416.1,17,0.047,52.1,113,43,2127,4440,48.8,4.69,208,8.7,107,3.9,5.8,17.5,3,2.39,29.7,32.7,5,39851,-0.21,0.7,87.5,38.9,47.9,37.3,0.132,38.8,12.1,365,45.9,8.2,1.92,-0.003,169,320,,20092,93.1,114.9,0.08,30.5,1,1.5,0.849,15.5,84.5,84927,0.31,979,14.7,8443,0.92,29,7306,46,3403,large
Natick,0.266,-0.08,12.4,123.3,15.6,8.7,466,20,0.184,145.3,77,45,1455,3231,51.9,6.7,216,18.3,35.4,2.7,4.3,24.8,7.2,2.44,29.1,20.4,7.8,46091,-0.04,0.3,11.5,41,54.1,16.4,0.008,14.7,22.3,171,19,5.3,0.66,0.01,352,236,0.19,13146,76.7,18.3,0.073,36.4,2.1,8.8,0.884,8.1,91.9,66070,0.45,303,18.1,24330,0.42,33.2,21776,52,9334,large
Needham,0.115,0.074,9.2,54.7,10.3,8.1,445,19.3,0.078,90.8,65,49.3,1849,3641,51.8,5.44,198,17.3,32.1,4.2,1.4,26.8,4.8,2.72,21.8,29.3,7.8,80902,-0.1,0.2,8,42.3,55.9,17.2,-0.049,8.7,19.1,163,17.9,4.5,0.77,0.007,566,94,0.218,13742,87.4,12.7,0.071,56.9,0,6.8,0.828,7.2,92.8,78328,0.47,303,0.7,21347,0.16,33.7,20113,57,6366,large
New Bedford,0.423,-0.199,13.5,105.5,101.8,11.1,369.3,18.3,0.043,120.4,35,49.4,1134,2146,52,5.37,115,10.4,27.9,4,3.9,56.5,26.1,2.4,32.4,6.7,7.4,14472,-0.07,3.1,19.1,36.8,38.1,51.5,0.036,13,37.2,207,30.7,9.7,-0.13,0.001,32,334,0.002,12856,80,27.5,0.001,37.4,0.3,46.3,0.952,16.7,83.3,69402,0.31,223,107.3,53519,0.14,50.1,34877,24,25842,medium
New Braintree,0.029,-0.064,5,360.4,,12.8,404.4,,0,77.1,18,58.1,1143,1732,49.8,2.69,47,3.9,193.6,0,12.5,19,5.1,2.69,17.6,14,8.3,31902,0.08,1,10,39.7,90.9,,0.176,40,40.5,88,10,5.1,1.09,0.003,1,,0.13,,93.9,47,,36.9,219.6,8,0.956,19.6,80.4,,,455,,721,0.83,18.8,671,-3,279,negative
New Marlborough,0.027,-0.057,6.6,430.7,,11.7,465.2,,0,51.7,55,54.7,1502,2702,49.3,2.38,64,5.2,154,19.9,35.5,40.1,1,2.34,25.9,15.5,4.5,18213,-0.14,0.7,33.1,49.1,74.4,,-0.045,27.8,15.9,65,,2.4,0.53,-0.006,31,,0.164,,94.2,4.6,,42.3,133.3,2.2,0.848,4.2,95.8,,,486,,1135,0.63,28.7,959,43,289,small
New Salem,0.016,-0.141,6.1,353.5,,11.4,494.9,,0,73.7,49,61.2,1365,2229,49.6,3.37,75,5.3,188.1,20.2,90.9,28.6,4.3,2.45,23.3,19.8,6.6,23445,0,0,10.1,45.6,85.3,,0.161,36.4,29.7,82,,3.7,1.53,0.004,2,,0.105,,93.4,23.2,,28.7,130.8,5.7,0.896,26.5,73.5,,,427,,737,0.77,23.2,681,27,212,negative
Newbury,0.1,-0.126,5.1,1059.1,28.3,9.7,474.2,,0.037,44.9,28,54.7,1370,2383,51.2,2.94,70,6.5,95.3,7.5,6.5,19.5,2.4,2.53,23,20.3,7,52133,0.23,0.8,18,44.6,84.2,,0.172,30.6,30.5,150,,6.3,2.34,0.008,88,,0.087,,95.2,71.3,,40.2,1.5,7.4,0.887,13,87.1,,,404,,5210,0.72,21.9,5025,28,1312,small
Newburyport,0.372,-0.065,7.8,592.6,12,8.8,490.6,20.2,0.254,73.2,75,42.4,1281,2988,53.5,5.84,175,19.7,44.3,8,2.9,52.7,3.5,2.23,34.4,23.2,4.3,43725,0.02,0.3,23.5,44.6,63.9,6.4,-0.016,18.2,17.7,183,20,6.1,0.23,0.008,285,133,0.14,13622,85.5,37.7,0.038,35.3,1.1,10.4,0.871,7.9,92.1,72536,0.36,315,11.9,13827,0.5,30.6,12708,47,3828,medium
Newton,0.314,-0.002,9.2,42.5,24.7,8.4,446.3,19.3,0.167,103.6,100,56.1,1671,2784,53.2,5.76,160,8.7,17.2,22.2,2.8,54.2,6.4,2.5,25.6,36.9,7.9,97648,-0.11,0.2,14,39.4,47.6,34.3,-0.054,7.6,20.6,167,20.9,6,0.04,0.009,3133,103,0.151,16400,89.3,8.6,0.054,45.6,0,5.1,0.808,14,86,86560,0.51,226,8.8,57639,0.13,45.3,50295,65,19706,small
Norfolk,0.056,-0.044,8.1,161.2,25.7,9.4,372,21.6,0.043,44.3,46,55.2,1507,2732,39.8,4.02,110,11,51.9,2.7,6.6,8.2,2.9,2.95,12.4,21.8,4.2,44264,0.02,0,8,41.2,89.8,7.8,0.136,20.1,23.6,158,19.5,5.8,3.15,0.006,40,50,0.179,12635,93.2,21.5,-0.126,42.7,5.3,13.1,0.863,6.2,93.9,67514,0.23,344,0.9,6618,1.24,19.4,6853,22,3947,small
