town,apartments_condos_multis_per_residential_parcels_2011,assessed_home_value_changes_2009-2013,births_per_1000_residents_2010,boaters_per_10000_residents_2012,burglaries_per_10000_residents_2011,cars_motorcycles_&_trucks_average_age_2012,cars_per_1000_residents_2012,class_size_in_school_district_2011-2012,condos_as_perc_of_parcels_2012,crashes_per_1000_residents_2007-2011,culture_and_rec_spending_per_person_2012,education_spending_as_a_percent_2012,education_spending_per_resident_2012,expenditures_per_resident_2012,females_percent_in_community_2010,fire_dept_spending_as_a_percent_2012,firefighter_costs_per_resident_2012,fixed_costs_percent_2012,gun_licenses_per_1000_residents_2012,historic_places_per_10000_2013,home_schooled_per_1000_students_2011-2012,homes_built_in_39_or_before,household_member_who_is_2_races_or_more_per_1000_households_2010,households_average_size_2010,households_one-person_2010,hybrid_cars_per_1000_vehicles_2013,in_home_since_1969_or_earlier,income_average_per_resident_2010,income_change_per_resident_2007-2010,inmates_in_state_prison_per_1000_residents,liquor_licenses_per_10000_2011,median_age_2011,miles_driven_daily_per_household_05-07,minority_students_per_district_2012-2013,motorcycles_change_in_ownership_2000-2012,motorcycles_per_1000_2012,multi-generation_households_2010,police_costs_per_resident_2013,police_employees_per_10000_residents_2011,police_spending_as_a_percent_2012,population_change_1950-2010,population_change_2010-2011,presidential_fundraising_obama_vs_romney,property_crimes_per_10000_residents_2012,property_tax_change_09-13,pupils_per_cost_average_by_district_2011-2012,residential_taxes_as_percent_of_all_property_taxes_2013,saltwater_fishing_licenses_per_1000_2013,school_district_growth_09-13,single-person_households_percent_65_and_older,snowmobiles_per_10000_residents_2012,state_aid_as_a_percent_of_town_budget_2012,students_in_public_schools_2011,tax-exempt_property_2012,taxable_property_by_percent_2012,teacher_salaries_by_average_2011,teachers_percent_under_40_years_old_2011-2012,trucks_per_1000_residents_2012,violent_crimes_per_10000_residents_2012,voters_as_a_percent_of_population_2012,voters_change_in_registrations_between_1982-2012,voters_democrats_as_a_percent_2012,2020_votes,2020_biden_margin,population,growth
Becket,0.005,-0.013,12.9,702.6,265.8,11.4,470.5,,0,208.5,36,48,1296,2665,49.6,0.79,21,11.6,186.1,22.5,19.7,16.3,2.9,2.33,27.7,9.2,2.5,19510,-0.06,1.1,61.8,49.3,90.9,,0.014,39.3,31.5,109,11.2,4.1,1.36,-0.006,13,,0.19,,91.4,19.7,,32.7,401.6,4.1,0.911,5.2,94.8,,,508,,1354,0.88,28.6,1195,29,488,medium
Bedford,0.185,0.004,9.1,105.1,23.8,8.7,527,15.5,0.1,104.7,98,45.9,2413,5024,50.1,3.29,166,13.4,45.9,8.3,6.6,10.5,4.5,2.5,25.6,28.2,8.7,52676,-0.01,0.3,14.3,43.4,62.6,26.8,0.083,19.5,25.5,230,29.1,4.6,1.54,0.01,211,56,0.241,16600,78.6,13.9,0.039,47.9,2.2,6.6,0.944,12.6,87.4,78282,0.39,338,5.2,9842,0.48,27.4,8859,48,3646,medium
Belchertown,0.076,-0.088,10,337.2,,10.4,450,18.4,0.027,78.6,48,55.5,1546,2787,51.3,0.98,27,14.2,118.4,2,16,7.9,7.5,2.62,21.7,16.1,1.6,28327,-0.02,0.5,9.6,40.5,80.4,9.1,0.374,34.1,23.8,120,15.6,4.3,2.26,-0.002,80,106,0.118,11396,92.1,24.8,-0.061,37.1,103.3,37.9,0.958,9.4,90.6,63046,0.34,382,12.9,9732,1.53,28.4,9609,25,3680,small
Bellingham,0.172,-0.158,11.4,179.4,23.1,9.4,478.8,19.6,0.111,145.4,37,57,1369,2403,51.4,4.4,106,5.3,62.5,0,,9.5,5.5,2.65,21.4,16.5,6.8,30736,-0.01,0.2,21.4,38.4,80.5,9.6,0.087,30.7,42.9,158,20.7,6.6,2.98,0.007,44,,0.165,11906,70.4,28.3,-0.08,37.2,8.5,22.6,,5.1,94.9,68328,0.36,368,,10795,0.52,26.4,9889,8,5073,small
Belmont,0.417,0.032,11.9,33.6,37.6,8.8,451.7,21.3,0.18,71.9,114,53.2,1499,2464,53,6.19,152,6.2,22.3,2,2.1,64.2,9.1,2.54,24.2,32.3,7.9,65808,-0.13,0.2,5.7,41.5,41.2,28.4,-0.052,8.8,19.8,163,22.5,6.6,-0.1,0.01,920,116,0.157,12259,94.3,8.7,0.052,45.6,0,7.8,0.871,10.7,89.3,79489,0.51,222,7.5,17821,0.01,36.1,15356,59,7148,large
Berkley,0.026,-0.136,10.1,444.5,76.3,10,434.4,18.1,0.01,73.3,18,67.2,1621,2380,50.7,0.86,21,6.5,130.6,0,17.6,8,5.9,3.03,12.2,10.2,3.5,29488,0.01,0.3,10.9,38,106,4.7,0.167,40.4,65.4,99,9.3,4.1,3.99,0.001,7,116,0.206,11089,95.4,56.3,-0.087,35.7,10.9,30.7,0.933,9,91.1,,0.39,400,10.8,4424,2.15,22.8,4113,-12,1769,medium
Berlin,0.193,-0.181,9.8,244.2,,11,468.6,14,0.107,196.1,42,55.7,1756,3063,50.5,2.32,71,10.9,133.5,7,13.4,26.9,5,2.54,21.8,20.8,13.1,39009,0.01,1.4,20.9,46.2,89.4,7.9,0.163,34.9,35.6,228,38.2,7.4,1.12,0.004,3,148,0.081,16384,74.2,31.8,-0.067,45.3,41.7,7.1,0.859,7.3,92.7,,0.3,421,3.4,2103,0.68,18.8,2265,25,677,large
Bernardston,0.046,-0.082,5.2,239.5,28.1,10.8,488,,0,114.1,31,61.1,1091,1697,50,2.1,36,5.1,157.4,9.4,9.6,30,5.3,2.39,24.3,15.4,7.9,25355,0.02,0.5,32.9,45.5,72.8,,-0.065,33.8,16.9,96,14,5.7,0.91,0.003,8,130,0.031,,85.8,15,,47.7,473.1,6.3,0.949,7.2,92.8,,,432,18.6,1504,0.45,18,1375,36,491,negative
Beverly,0.239,-0.087,10.1,257.5,32.7,9.4,438.4,21,0.107,84.5,72,49.7,1025,2026,52.6,6.73,136,10.6,39.5,5.1,9.1,44.5,5.8,2.33,31.3,15.9,10.1,36185,-0.06,0.9,17.2,40.3,48.6,16.1,-0.029,18.8,25.2,157,17.4,7.8,0.37,0.007,215,158,0.147,12818,85.7,26,0.027,37.8,1.8,11.1,0.822,9.6,90.4,69535,0.33,288,20.7,25780,0.16,26.9,24450,39,9672,medium
Billerica,0.138,-0.089,11.5,134.2,30.5,9.2,445.2,20,0.076,76.5,41,48.5,1385,2733,49.6,5.85,160,8.8,61,2,4.8,12.8,5.5,2.79,19.7,16.5,8.7,31054,0.07,0.7,10.2,38.7,73.2,12.2,-0.039,27.2,57.3,159,18.5,5.8,2.63,0.01,68,115,0.129,12872,75.9,19.2,-0.096,37.5,2.2,16.5,0.949,5.8,94.2,63885,0.4,360,13.7,26216,0.57,28.7,24644,11,11270,small
